Flight Number,Date,From,To,Departure,Arrival,Aircraft,Type,Distance,Flight Duration
AC101,01-07-2024,Delhi,Mumbai,08:00,10:00,Boeing 737,Domestic,1147,2 hr 15 min
AC102,02-07-2024,Mumbai,Delhi,10:30,12:45,Boeing 737,Domestic,1147,2 hr 30 min
AC103,03-07-2024,Kolkata,Bangalore,07:45,10:15,Airbus A340,Domestic,1567,2 hr 45 min
AC104,04-07-2024,Bangalore,Kolkata,10:30,13:00,Airbus A340,Domestic,1567,2 hr 45 min
AC105,05-07-2024,Chennai,Hyderabad,09:00,10:30,Boeing 777,Domestic,505,1 hr 30 min
AC106,06-07-2024,Hyderabad,Chennai,11:00,12:30,Boeing 777,Domestic,505,1 hr 30 min
AC107,07-07-2024,Mumbai,Kolkata,08:30,11:15,Boeing 747,Domestic,1656,2 hr 45 min
AC108,08-07-2024,Kolkata,Mumbai,12:00,14:45,Boeing 747,Domestic,1656,2 hr 45 min
AC109,09-07-2024,Delhi,Chennai,07:30,10:15,Airbus A380,Domestic,1757,2 hr 45 min
AC110,10-07-2024,Chennai,Delhi,10:45,13:30,Airbus A380,Domestic,1757,2 hr 45 min
AC111,11-07-2024,Bangalore,Hyderabad,09:15,10:45,Boeing 737,Domestic,502,1 hr 30 min
AC112,12-07-2024,Hyderabad,Bangalore,11:30,13:00,Boeing 737,Domestic,502,1 hr 30 min
AC113,13-07-2024,Kolkata,Delhi,08:00,10:00,Airbus A340,Domestic,1304,2 hr 0 min
AC114,14-07-2024,Delhi,Kolkata,10:30,12:30,Airbus A340,Domestic,1304,2 hr 0 min
AC115,15-07-2024,Chennai,Mumbai,07:45,10:00,Boeing 777,Domestic,1029,2 hr 15 min
AC116,16-07-2024,Mumbai,Chennai,10:30,12:45,Boeing 777,Domestic,1029,2 hr 15 min
AC117,17-07-2024,Bangalore,Delhi,09:00,11:45,Boeing 747,Domestic,1748,2 hr 30 min
AC118,18-07-2024,Delhi,Bangalore,12:30,15:15,Boeing 747,Domestic,1748,2 hr 30 min
AC119,19-07-2024,Hyderabad,Kolkata,08:30,11:15,Airbus A380,Domestic,1158,2 hr 30 min
AC120,20-07-2024,Kolkata,Hyderabad,12:00,14:45,Airbus A380,Domestic,1158,2 hr 30 min
AC121,21-07-2024,Chennai,Bangalore,09:15,10:45,Boeing 737,Domestic,283,1 hr 30 min
AC122,22-07-2024,Bangalore,Chennai,11:30,13:00,Boeing 737,Domestic,283,1 hr 30 min
AC123,23-07-2024,Mumbai,Delhi,08:00,10:00,Airbus A340,Domestic,1147,2 hr 0 min
AC124,24-07-2024,Delhi,Mumbai,10:30,12:30,Airbus A340,Domestic,1147,2 hr 0 min
AC125,25-07-2024,Kolkata,Bangalore,07:45,10:15,Boeing 777,Domestic,1567,2 hr 30 min
AC126,26-07-2024,Bangalore,Kolkata,10:30,13:00,Boeing 777,Domestic,1567,2 hr 30 min
AC127,27-07-2024,Chennai,Hyderabad,09:00,10:30,Boeing 747,Domestic,502,1 hr 30 min
AC128,28-07-2024,Hyderabad,Chennai,11:00,12:30,Boeing 747,Domestic,502,1 hr 30 min
AC129,29-07-2024,Mumbai,Kolkata,08:30,11:15,Airbus A380,Domestic,1656,2 hr 45 min
AC130,30-07-2024,Kolkata,Mumbai,12:00,14:45,Airbus A380,Domestic,1656,2 hr 45 min
AC131,31-07-2024,Delhi,Chennai,07:30,10:15,Boeing 737,Domestic,1757,2 hr 30 min
AC132,01-08-2024,Chennai,Delhi,10:45,13:30,Boeing 737,Domestic,1757,2 hr 30 min
AC133,02-08-2024,Bangalore,Hyderabad,09:15,10:45,Airbus A340,Domestic,502,1 hr 30 min
AC134,03-08-2024,Hyderabad,Bangalore,11:30,13:00,Airbus A340,Domestic,502,1 hr 30 min
AC135,04-08-2024,Kolkata,Delhi,08:00,10:00,Boeing 777,Domestic,1304,2 hr 0 min
AC136,05-08-2024,Delhi,Kolkata,10:30,12:30,Boeing 777,Domestic,1304,2 hr 0 min
AC137,06-08-2024,Chennai,Mumbai,07:45,10:00,Airbus A380,Domestic,1029,2 hr 15 min
AC138,07-08-2024,Mumbai,Chennai,10:30,12:45,Airbus A380,Domestic,1029,2 hr 15 min
AC139,08-08-2024,Bangalore,Delhi,09:00,11:45,Boeing 737,Domestic,1748,2 hr 30 min
AC140,09-08-2024,Delhi,Bangalore,12:30,15:15,Boeing 737,Domestic,1748,2 hr 30 min
AC141,10-08-2024,Hyderabad,Kolkata,08:30,11:15,Airbus A340,Domestic,1158,2 hr 30 min
AC142,11-08-2024,Kolkata,Hyderabad,12:00,14:45,Airbus A340,Domestic,1158,2 hr 30 min
AC143,12-08-2024,Chennai,Bangalore,09:15,10:45,Boeing 777,Domestic,283,1 hr 30 min
AC144,13-08-2024,Bangalore,Chennai,11:30,13:00,Boeing 777,Domestic,283,1 hr 30 min
AC145,14-08-2024,Mumbai,Delhi,08:00,10:00,Airbus A340,Domestic,1147,2 hr 0 min
AC146,15-08-2024,Delhi,Mumbai,10:30,12:30,Airbus A340,Domestic,1147,2 hr 0 min
AC147,16-08-2024,Kolkata,Bangalore,07:45,10:15,Boeing 777,Domestic,1567,2 hr 30 min
AC148,17-08-2024,Bangalore,Kolkata,10:30,13:00,Boeing 777,Domestic,1567,2 hr 30 min
AC149,18-08-2024,Chennai,Hyderabad,09:00,10:30,Boeing 747,Domestic,502,1 hr 30 min
AC150,19-08-2024,Hyderabad,Chennai,11:00,12:30,Boeing 747,Domestic,502,1 hr 30 min
AC201,01-07-2024,Delhi,Dubai,08:00,11:00,Boeing 747,International,2200,2 hr 30 min
AC202,02-07-2024,Dubai,Delhi,12:30,15:30,Boeing 747,International,2200,2 hr 30 min
AC203,03-07-2024,Mumbai,Singapore,09:45,14:00,Boeing 777,International,3900,4 hr 30 min
AC204,04-07-2024,Singapore,Mumbai,15:30,19:45,Boeing 777,International,3900,4 hr 30 min
AC205,05-07-2024,Kolkata,Dubai,07:30,10:15,Airbus A380,International,2700,3 hr 0 min
AC206,06-07-2024,Dubai,Kolkata,11:00,13:45,Airbus A380,International,2700,3 hr 0 min
AC207,07-07-2024,Delhi,Hong Kong,08:45,14:00,Airbus A340,International,3590,4 hr 0 min
AC208,08-07-2024,Hong Kong,Delhi,15:15,20:30,Airbus A340,International,3590,4 hr 0 min
AC209,09-07-2024,Chennai,Paris,09:30,15:15,Boeing 747,International,7650,8 hr 30 min
AC210,10-07-2024,Paris,Chennai,16:00,21:45,Boeing 747,International,7650,8 hr 30 min
AC211,11-07-2024,Kolkata,Sydney,08:15,15:00,Airbus A380,International,5900,6 hr 45 min
AC212,12-07-2024,Sydney,Kolkata,16:30,23:15,Airbus A380,International,5900,6 hr 45 min
AC213,13-07-2024,Mumbai,London,09:00,15:30,Boeing 777,International,7200,8 hr 0 min
AC214,14-07-2024,London,Mumbai,16:00,22:30,Boeing 777,International,7200,8 hr 0 min
AC215,15-07-2024,Chennai,Sydney,10:15,16:30,Airbus A340,International,5900,6 hr 45 min
AC216,16-07-2024,Sydney,Chennai,17:45,00:00,Airbus A340,International,5900,6 hr 45 min
AC217,17-07-2024,Kolkata,Dubai,07:45,10:30,Boeing 747,International,2700,3 hr 0 min
AC218,18-07-2024,Dubai,Kolkata,11:15,14:00,Boeing 747,International,2700,3 hr 0 min
AC219,19-07-2024,Bangalore,Singapore,08:30,12:00,Airbus A380,International,3200,3 hr 45 min
AC220,20-07-2024,Singapore,Bangalore,13:15,16:45,Airbus A380,International,3200,3 hr 45 min
AC221,21-07-2024,Chennai,Paris,09:45,15:30,Boeing 747,International,7650,8 hr 30 min
AC222,22-07-2024,Paris,Chennai,16:30,22:15,Boeing 747,International,7650,8 hr 30 min
AC223,23-07-2024,Bangalore,Dubai,08:00,11:00,Airbus A340,International,2800,3 hr 15 min
AC224,24-07-2024,Dubai,Bangalore,12:30,15:30,Airbus A340,International,2800,3 hr 15 min
AC225,25-07-2024,Mumbai,Tokyo,09:45,15:15,Boeing 777,International,6200,7 hr 15 min
AC226,26-07-2024,Tokyo,Mumbai,16:00,21:30,Boeing 777,International,6200,7 hr 15 min
AC227,27-07-2024,Delhi,Sydney,08:45,15:15,Airbus A340,International,7200,8 hr 0 min
AC228,28-07-2024,Sydney,Delhi,16:30,23:00,Airbus A340,International,7200,8 hr 0 min
AC229,29-07-2024,Mumbai,Dubai,07:45,10:30,Boeing 747,International,2200,2 hr 30 min
AC230,30-07-2024,Dubai,Mumbai,11:15,14:00,Boeing 747,International,2200,2 hr 30 min
AC231,31-07-2024,Kolkata,Dubai,08:00,10:45,Airbus A380,International,2700,3 hr 0 min
AC232,01-08-2024,Dubai,Kolkata,12:30,15:15,Airbus A380,International,2700,3 hr 0 min
AC233,02-08-2024,Delhi,Hong Kong,09:15,14:30,Airbus A340,International,3590,4 hr 0 min
AC234,03-08-2024,Hong Kong,Delhi,15:45,21:00,Airbus A340,International,3590,4 hr 0 min
AC235,04-08-2024,Chennai,Paris,10:30,16:15,Boeing 747,International,7650,8 hr 30 min
AC236,05-08-2024,Paris,Chennai,17:00,22:45,Boeing 747,International,7650,8 hr 30 min
AC237,06-08-2024,Kolkata,Sydney,09:15,16:00,Airbus A380,International,5900,6 hr 45 min
AC238,07-08-2024,Sydney,Kolkata,17:30,00:15,Airbus A380,International,5900,6 hr 45 min
AC239,08-08-2024,Mumbai,London,08:45,15:15,Boeing 777,International,7200,8 hr 0 min
AC240,09-08-2024,London,Mumbai,16:00,22:30,Boeing 777,International,7200,8 hr 0 min
AC241,10-08-2024,Chennai,Sydney,09:45,15:00,Airbus A340,International,5900,6 hr 45 min
AC242,11-08-2024,Sydney,Chennai,17:00,22:15,Airbus A340,International,5900,6 hr 45 min
AC243,12-08-2024,Kolkata,Dubai,08:00,10:45,Boeing 747,International,2700,3 hr 0 min
AC244,13-08-2024,Dubai,Kolkata,12:30,15:15,Boeing 747,International,2700,3 hr 0 min
AC245,14-08-2024,Bangalore,Singapore,09:15,12:45,Airbus A380,International,3200,3 hr 45 min
AC246,15-08-2024,Singapore,Bangalore,13:30,17:00,Airbus A380,International,3200,3 hr 45 min
AC247,16-08-2024,Chennai,Paris,10:30,16:15,Boeing 747,International,7650,8 hr 30 min
AC248,17-08-2024,Paris,Chennai,17:00,22:45,Boeing 747,International,7650,8 hr 30 min
AC249,08-10-2024,Bangalore,Delhi,10:00,12:45,Boeing 737,Domestic,1748,2 hr 45 min
AC250,07-10-2024,Delhi,Bangalore,13:30,16:15,Boeing 737,Domestic,1748,2 hr 45 min
